State,republican_pct,israel_palestine_salience,china_geopolitics_salience,border_security_salience,fentanyl_drugs_salience,inflation_economy_salience,crypto_markets_salience,tax_policy_salience,student_loans_salience,labor_unions_salience,race_discourse_salience,gender_abortion_salience,climate_environment_salience,felon_conviction_salience,project_2025_salience,authoritarian_rhetoric_salience,covid_vaccine_salience,healthcare_medicare_salience
Minnesota,0.36558044806517315,0.3676154360533518,0.3026061782078858,0.25572745530054247,0.2398198385886752,0.5697781313517335,0.15257801289099018,0.5758275832873438,0.4048911598066347,0.5336970975006077,0.3709343659569028,0.745873215901944,0.2449357599923261,0.3233971329388151,0.5172995172142788,0.37286129455436484,0.13795788561314007,0.16109601124262754
Mississippi,0.7273421588594706,0.1565889670976588,0.3953419708242971,0.7794220051940871,0.29402460602520597,0.46209816700681455,0.18359646972103186,0.5436247027963047,0.4059701316173629,0.028959589106867547,1.0,0.22252514463109996,0.03343437428360733,0.5269425835945851,0.3702964454800274,0.2286104863880167,0.09976518346751186,0.16002361202862644
Missouri,0.6662423625254584,0.3369618190389904,0.3213132594527251,0.4871874703391793,0.5173794121859112,0.3098153679110218,0.16985088030344828,0.2735448030245884,0.40343304913040917,0.3763384885275586,0.5556734433954393,0.5449746447996375,0.19360789146234067,0.866845757213834,0.3871029135597301,0.28784010905673063,0.17062500843301293,0.17856647347583843
Montana,0.6636965376782078,0.6471559517734339,0.3672136528011157,0.6941997580858644,0.4253736884220025,0.49213071405210496,0.4575040980657646,0.8075097292385919,0.312791782707889,0.28742287607974537,0.0,1.0,0.3857209265363759,0.3888705067943617,0.0,0.3173361945975516,0.08773830090416081,0.19934104395221316
Nebraska,0.6873727087576376,0.25540827805015975,0.3420485057306703,0.41715485720136813,0.18342668212595534,0.572314787239051,0.23962249044609335,0.9482510355167788,0.296433393674927,0.33557702206521356,0.35499444333201724,0.25476586060994827,0.1708864516275975,0.5047068100301471,0.6634050775367034,0.5469312598028966,0.23231619439430015,0.16861187483459186
Nevada,0.46512219959266815,0.20734079371670608,0.3667801373542357,0.6227410536560913,0.28748217335690673,0.4475028005554594,0.6343232459429508,0.34090776496303904,0.08598176841300631,0.3544806898113339,0.5726928746784069,0.0,0.20708282485915,0.5793739259661368,0.553156141047668,0.11513672289446386,0.1515288061642659,0.18618792764242237
New Hampshire,0.39587576374745415,0.9665657464449079,0.40207372751412324,0.3070414059056089,0.08741388892392343,0.6290740361619543,0.6387599729193956,0.5310073327418094,0.5805591451104698,0.28190921808345737,0.48829370081501117,0.45560442522289624,0.5776837285762135,0.0,0.6598261943567227,1.0,0.17311698456997648,0.012304832427232746
New Jersey,0.34979633401222004,0.39160130933101694,0.2586922484480243,0.5513244753158238,0.21795036148659164,0.6983494324574465,0.35533332608442714,0.3039883334597599,0.13019813888194448,0.33231307273097743,0.648238957037509,0.1452837077378749,0.2360051423887622,0.9205734234956915,0.7271105047193746,0.2071558411693513,0.12000631729164687,0.1220428987469053
New Mexico,0.34445010183299396,0.7209080239122766,0.23971369295466602,1.0,0.21114937642635134,0.46989143370336467,0.16562438991545597,0.7168761401306956,0.2260089710096473,0.296257674170617,0.36845977760799287,0.3964714798530028,0.2691705492243496,0.5280624207365968,0.5427563306531639,0.3895424235661154,0.22621035724266653,0.11010365769971357
New York,0.279786150712831,1.0,0.574179530001347,0.4233952027755389,0.10657125093035308,0.5415180632318009,1.0,0.33285716493791306,0.07540354216855201,0.5592875149684177,0.7678923794728613,0.26845340907294907,0.32605425248345227,0.7136141389972034,0.5324447726800473,0.21901339504018255,0.14758993540869011,0.07685064294834212
North Carolina,0.4719959266802444,0.27699568122747326,0.33946948753518014,0.5980419863852613,0.05255613639331859,0.43915003528362284,0.08607206497522894,0.27923693011954226,0.6265973256954324,0.14235001027503227,0.6836363089210591,0.3839682000295494,0.13539431916580155,0.2260854983217999,0.371519678865027,0.2626795214186335,0.06744716247311743,0.12400483804867665
North Dakota,0.8818737270875764,0.3235613864726024,0.27405868251324383,0.36506886771003544,0.4762059455378796,0.9973196999729883,0.0,0.12386734804395953,0.08219297274438402,1.0,0.33961071285273464,0.25760481549494374,0.5708450648418549,0.3489758909633777,0.7016184512420041,0.3059180351756682,0.15189841536931548,0.07564042778107141
Ohio,0.5809572301425663,0.3682442558556979,0.369548210884553,0.4821943987579429,0.2009791735257655,0.44354544915433497,0.114402457955191,0.4742050282400485,0.2932458574339899,0.37326935223202073,0.5318813060224238,0.25962529195068523,0.08235761390690895,0.5706024232145109,0.5291626991761712,0.2357608325231301,0.11614619165768507,0.19031288525969825
Oklahoma,0.8615071283095723,0.3854716045106665,0.3263607640270416,0.5421337242813002,0.33333640542380094,0.3226329937082341,0.20023663178979118,0.25063641672796594,1.0,0.13139456341319322,0.27130101868419354,0.6399589967927394,0.04597626380544749,0.44521146408715223,0.6794757880552704,0.3609556115363909,0.5661824021648941,0.24908216776909817
Oregon,0.22021384928716903,0.5917532041338134,0.32558369153423833,0.25319521673238793,0.7202697277853417,0.3246186918077415,0.2731606964558775,0.7137193587652498,0.2588790088079636,0.34764425868007515,0.34090159720922236,0.8040692143831495,0.4311518053262325,0.5741216905092125,0.621401202088472,0.4039673622991481,0.2852924640123117,0.1730322647051021
